Labels,050922-45dk Absorbance (T),
Type,Transmission Scan,
Comment,,
Start,300.00,
Stop,720.00,
Step,1.00,
Fixed/Offset,n/a,
Xaxis,Wavelength,
Yaxis,Absorbance,
Scan Corr. by File,False,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,n/a,
Repeats,1,
Dwell Time,0.20,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,1.00,
Fixed/Offset Polariser,n/a,
Fixed/Offset Slit,n/a,
Detector,Reference Det,

300.00,9.92617428E-1,
301.00,9.76978719E-1,
302.00,9.59753990E-1,
303.00,9.49768722E-1,
304.00,9.36545908E-1,
305.00,9.28016126E-1,
306.00,9.14545536E-1,
307.00,9.09284830E-1,
308.00,8.99515688E-1,
309.00,8.93840790E-1,
310.00,8.86256933E-1,
311.00,8.83654296E-1,
312.00,8.88765633E-1,
313.00,8.88418972E-1,
314.00,8.97554100E-1,
315.00,9.20644045E-1,
316.00,9.49461579E-1,
317.00,9.80346680E-1,
318.00,1.02294791E+0,
319.00,1.08831489E+0,
320.00,1.16575301E+0,
321.00,1.26966381E+0,
322.00,1.40611708E+0,
323.00,1.56615758E+0,
324.00,1.76258671E+0,
325.00,1.95100594E+0,
326.00,2.10757589E+0,
327.00,2.12985396E+0,
328.00,1.97348797E+0,
329.00,1.70343208E+0,
330.00,1.41200602E+0,
331.00,1.14304972E+0,
332.00,9.63915408E-1,
333.00,8.35105956E-1,
334.00,7.63626933E-1,
335.00,7.29234815E-1,
336.00,7.24868476E-1,
337.00,7.55164206E-1,
338.00,8.16448390E-1,
339.00,9.07413483E-1,
340.00,1.05314779E+0,
341.00,1.28198242E+0,
342.00,1.59093034E+0,
343.00,2.05294228E+0,
344.00,2.35443687E+0,
345.00,2.23833847E+0,
346.00,1.66433144E+0,
347.00,1.03345668E+0,
348.00,6.45583749E-1,
349.00,3.94731671E-1,
350.00,2.63207048E-1,
351.00,1.96014032E-1,
352.00,1.59840614E-1,
353.00,1.48148388E-1,
354.00,1.47358790E-1,
355.00,1.36269882E-1,
356.00,1.16369434E-1,
357.00,1.00844160E-1,
358.00,9.27302763E-2,
359.00,8.46086070E-2,
360.00,8.13347176E-2,
361.00,7.43457153E-2,
362.00,6.81199580E-2,
363.00,6.39097318E-2,
364.00,5.91309071E-2,
365.00,5.52056171E-2,
366.00,5.53562641E-2,
367.00,5.19091152E-2,
368.00,4.86781783E-2,
369.00,4.71421555E-2,
370.00,4.59877737E-2,
371.00,4.08733338E-2,
