Labels,050922-45dk-emission,
Type,Emission Scan,
Comment,Range = [320.00 - 400.00] nm; Peak at 348.00 nm; FWHM = 5.69 nm; Color Coordinates (CIE 1931): x = 0.1738 y = 0.0049,
Start,320.00,
Stop,500.00,
Step,1.00,
Fixed/Offset,300.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.10,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,1.00,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,3.00,
Detector,Detector 1,

320.00,7.46141541E+2,
321.00,5.97240417E+2,
322.00,4.92148895E+2,
323.00,4.84574097E+2,
324.00,4.16672546E+2,
325.00,4.58436127E+2,
326.00,3.93421234E+2,
327.00,4.42709930E+2,
328.00,5.16981873E+2,
329.00,7.88889282E+2,
330.00,7.96890259E+2,
331.00,1.00621619E+3,
332.00,9.07908081E+2,
333.00,9.18885071E+2,
334.00,8.90344604E+2,
335.00,8.27279907E+2,
336.00,8.30509705E+2,
337.00,8.03180908E+2,
338.00,1.11018347E+3,
339.00,1.36996338E+3,
340.00,1.77319983E+3,
341.00,1.92901318E+3,
342.00,2.45896362E+3,
343.00,2.66429297E+3,
344.00,2.96367676E+3,
345.00,4.09941211E+3,
346.00,6.01493359E+3,
347.00,8.41230762E+3,
348.00,9.31096191E+3,
349.00,8.64572363E+3,
350.00,6.57299561E+3,
351.00,5.14475635E+3,
352.00,4.08800781E+3,
353.00,3.62250732E+3,
354.00,3.54397217E+3,
355.00,3.78655273E+3,
356.00,3.66323315E+3,
357.00,3.02414087E+3,
358.00,2.44703613E+3,
359.00,2.12705493E+3,
360.00,1.71827185E+3,
361.00,1.53381384E+3,
362.00,1.49703809E+3,
363.00,1.36455017E+3,
364.00,1.43560669E+3,
365.00,1.25443066E+3,
366.00,1.08984167E+3,
367.00,1.30598669E+3,
368.00,1.14607983E+3,
369.00,1.17318237E+3,
370.00,9.70555481E+2,
371.00,9.40557739E+2,
372.00,8.93472229E+2,
373.00,7.76205505E+2,
374.00,7.15949463E+2,
375.00,7.17677979E+2,
376.00,6.75681824E+2,
377.00,6.95939819E+2,
378.00,6.69063538E+2,
379.00,6.48498718E+2,
380.00,7.16863586E+2,
381.00,7.09347107E+2,
382.00,6.24116638E+2,
383.00,5.89627502E+2,
384.00,6.76318176E+2,
385.00,4.93891113E+2,
386.00,5.79236694E+2,
387.00,4.92853424E+2,
388.00,5.42606445E+2,
389.00,5.12979004E+2,
390.00,5.36802673E+2,
391.00,4.71130005E+2,
392.00,5.30013245E+2,
393.00,4.66358673E+2,
394.00,4.46017700E+2,
395.00,4.83305725E+2,
396.00,5.05432281E+2,
397.00,4.73060333E+2,
398.00,4.88618042E+2,
399.00,4.60499146E+2,
400.00,5.07853729E+2,
401.00,4.71241394E+2,
402.00,4.53762878E+2,
403.00,5.33869995E+2,
404.00,4.26774994E+2,
405.00,4.29982391E+2,
406.00,3.92343414E+2,
407.00,4.00892334E+2,
408.00,3.95680206E+2,
409.00,4.07338684E+2,
410.00,4.15821289E+2,
411.00,4.16821686E+2,
412.00,3.69014526E+2,
413.00,3.44409332E+2,
414.00,3.09662811E+2,
415.00,3.59423615E+2,
416.00,3.65913269E+2,
417.00,3.72508148E+2,
418.00,3.38742828E+2,
419.00,3.32579529E+2,
420.00,2.89657898E+2,
421.00,3.07599854E+2,
422.00,3.10360718E+2,
423.00,3.43011963E+2,
424.00,3.62369812E+2,
425.00,3.28448151E+2,
426.00,3.11570770E+2,
427.00,2.98142853E+2,
428.00,3.08267181E+2,
429.00,3.46511017E+2,
430.00,3.01461395E+2,
431.00,3.35126648E+2,
432.00,2.62170410E+2,
433.00,2.65711212E+2,
434.00,3.27627655E+2,
435.00,2.87602570E+2,
436.00,3.11219482E+2,
437.00,2.89790497E+2,
438.00,2.66810913E+2,
439.00,3.27942841E+2,
440.00,2.64506989E+2,
441.00,2.90214783E+2,
442.00,2.65266083E+2,
443.00,2.22556717E+2,
444.00,3.20620697E+2,
445.00,2.45585541E+2,
446.00,2.66665009E+2,
447.00,2.94715668E+2,
448.00,2.76661316E+2,
449.00,2.63450989E+2,
450.00,2.84692261E+2,
451.00,2.39054489E+2,
452.00,2.29451691E+2,
453.00,2.31887146E+2,
454.00,2.60422455E+2,
455.00,2.16097565E+2,
456.00,2.13385406E+2,
457.00,2.07213959E+2,
458.00,2.23680405E+2,
459.00,2.36668427E+2,
460.00,2.25234955E+2,
461.00,2.31821396E+2,
462.00,2.36621033E+2,
463.00,1.85458649E+2,
464.00,1.91553345E+2,
465.00,1.96248184E+2,
466.00,1.77219742E+2,
467.00,2.16554153E+2,
468.00,2.52527222E+2,
469.00,1.66739487E+2,
470.00,1.76787247E+2,
471.00,2.05413727E+2,
472.00,2.02216553E+2,
473.00,1.80179413E+2,
474.00,1.71107330E+2,
475.00,1.71351303E+2,
476.00,1.82993469E+2,
477.00,1.55097504E+2,
478.00,1.97293274E+2,
479.00,1.74904266E+2,
480.00,1.69444427E+2,
481.00,1.50707123E+2,
482.00,1.54906082E+2,
483.00,9.39960861E+1,
484.00,1.25084389E+2,
485.00,1.98884476E+2,
486.00,1.64637711E+2,
487.00,1.51667725E+2,
488.00,1.40615295E+2,
489.00,1.21716492E+2,
490.00,1.20400948E+2,
491.00,1.72565567E+2,
492.00,1.65468216E+2,
493.00,1.86387985E+2,
494.00,1.81372604E+2,
495.00,2.28921997E+2,
496.00,1.89415726E+2,
497.00,2.31286377E+2,
498.00,2.46808792E+2,
499.00,2.68880096E+2,
500.00,3.33292603E+2,
