Labels,050922-final Absorbance (T),
Type,Transmission Scan,
Comment,,
Start,300.00,
Stop,600.00,
Step,1.00,
Fixed/Offset,n/a,
Xaxis,Wavelength,
Yaxis,Absorbance,
Scan Corr. by File,False,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,n/a,
Repeats,1,
Dwell Time,0.20,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,3.00,
Fixed/Offset Polariser,n/a,
Fixed/Offset Slit,n/a,
Detector,Reference Det,

300.00,7.33337641E-1,
301.00,7.24475622E-1,
302.00,7.16957629E-1,
303.00,7.13056624E-1,
304.00,7.12210298E-1,
305.00,7.10073233E-1,
306.00,7.03738809E-1,
307.00,6.99712574E-1,
308.00,6.95871353E-1,
309.00,6.91239476E-1,
310.00,6.88499629E-1,
311.00,6.85741007E-1,
312.00,6.86822534E-1,
313.00,6.83500588E-1,
314.00,6.87046170E-1,
315.00,6.88317895E-1,
316.00,6.93399787E-1,
317.00,7.09737837E-1,
318.00,7.23707557E-1,
319.00,7.46974826E-1,
320.00,7.72895753E-1,
321.00,8.18009377E-1,
322.00,8.71534646E-1,
323.00,9.38303888E-1,
324.00,1.01651204E+0,
325.00,1.10058737E+0,
326.00,1.16296506E+0,
327.00,1.19213402E+0,
328.00,1.15705585E+0,
329.00,1.07986212E+0,
330.00,9.86721039E-1,
331.00,8.95527959E-1,
332.00,8.16432059E-1,
333.00,7.50538588E-1,
334.00,7.04211771E-1,
335.00,6.71639442E-1,
336.00,6.54539466E-1,
337.00,6.51797235E-1,
338.00,6.65082574E-1,
339.00,6.90824330E-1,
340.00,7.48164713E-1,
341.00,8.41274738E-1,
342.00,9.65720713E-1,
343.00,1.12367976E+0,
344.00,1.23687506E+0,
345.00,1.23172486E+0,
346.00,1.10443723E+0,
347.00,9.41245258E-1,
348.00,7.93293118E-1,
349.00,6.69704139E-1,
350.00,5.81129968E-1,
351.00,5.16430795E-1,
352.00,4.70046550E-1,
353.00,4.38191772E-1,
354.00,4.11958247E-1,
355.00,3.88119727E-1,
356.00,3.66354257E-1,
357.00,3.45734656E-1,
358.00,3.30978572E-1,
359.00,3.16001445E-1,
360.00,3.02173972E-1,
361.00,2.89506495E-1,
362.00,2.79115915E-1,
363.00,2.70686328E-1,
364.00,2.62479454E-1,
365.00,2.50925571E-1,
366.00,2.47470498E-1,
367.00,2.40390763E-1,
368.00,2.38115713E-1,
369.00,2.30140775E-1,
370.00,2.26400807E-1,
371.00,2.21906066E-1,
