Labels,050922_CdSeCdZnS_Shell Absorbance (T),
Type,Transmission Scan,
Comment,,
Start,300.00,
Stop,720.00,
Step,1.00,
Fixed/Offset,n/a,
Xaxis,Wavelength,
Yaxis,Absorbance,
Scan Corr. by File,False,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,n/a,
Repeats,1,
Dwell Time,0.20,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,1.00,
Fixed/Offset Polariser,n/a,
Fixed/Offset Slit,n/a,
Detector,Reference Det,

300.00,3.56622577E-1,
301.00,3.51408750E-1,
302.00,3.45730722E-1,
303.00,3.40198249E-1,
304.00,3.34577560E-1,
305.00,3.29648286E-1,
306.00,3.25337499E-1,
307.00,3.20434272E-1,
308.00,3.15722227E-1,
309.00,3.10819179E-1,
310.00,3.05810362E-1,
311.00,3.00920814E-1,
312.00,2.96952814E-1,
313.00,2.93006271E-1,
314.00,2.88365215E-1,
315.00,2.84314781E-1,
316.00,2.80084670E-1,
317.00,2.76039273E-1,
318.00,2.74274945E-1,
319.00,2.70728648E-1,
320.00,2.67201096E-1,
321.00,2.62684435E-1,
322.00,2.57677555E-1,
323.00,2.55758375E-1,
324.00,2.52369106E-1,
325.00,2.49336317E-1,
326.00,2.46561766E-1,
327.00,2.43044451E-1,
328.00,2.39066556E-1,
329.00,2.36081406E-1,
330.00,2.34012425E-1,
331.00,2.31746182E-1,
332.00,2.28572920E-1,
333.00,2.26287678E-1,
334.00,2.23722205E-1,
335.00,2.21516430E-1,
336.00,2.18650907E-1,
337.00,2.16123581E-1,
338.00,2.14115992E-1,
339.00,2.12773815E-1,
340.00,2.10476384E-1,
341.00,2.07913876E-1,
342.00,2.05557749E-1,
343.00,2.02831179E-1,
344.00,2.00170308E-1,
345.00,1.97880760E-1,
346.00,1.96111381E-1,
347.00,1.93856150E-1,
348.00,1.92671880E-1,
349.00,1.90906972E-1,
350.00,1.88020587E-1,
351.00,1.87143713E-1,
352.00,1.86472580E-1,
353.00,1.84319541E-1,
354.00,1.81844383E-1,
355.00,1.81213766E-1,
356.00,1.79531395E-1,
357.00,1.78047374E-1,
358.00,1.76392630E-1,
359.00,1.75037667E-1,
360.00,1.73619196E-1,
361.00,1.72386140E-1,
362.00,1.70731589E-1,
363.00,1.68504804E-1,
364.00,1.66998774E-1,
365.00,1.65893823E-1,
366.00,1.64213687E-1,
367.00,1.62606686E-1,
368.00,1.61450595E-1,
369.00,1.61380053E-1,
370.00,1.59232810E-1,
