Labels,050922_CdSeCdZnS_Shell3 Absorbance (T),
Type,Transmission Scan,
Comment,,
Start,300.00,
Stop,720.00,
Step,1.00,
Fixed/Offset,n/a,
Xaxis,Wavelength,
Yaxis,Absorbance,
Scan Corr. by File,False,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,n/a,
Repeats,1,
Dwell Time,0.20,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,1.00,
Fixed/Offset Polariser,n/a,
Fixed/Offset Slit,n/a,
Detector,Reference Det,

300.00,1.26662338E+0,
301.00,1.24804807E+0,
302.00,1.22999310E+0,
303.00,1.21235502E+0,
304.00,1.19543231E+0,
305.00,1.17926669E+0,
306.00,1.16224551E+0,
307.00,1.14554060E+0,
308.00,1.12939703E+0,
309.00,1.11375058E+0,
310.00,1.09876883E+0,
311.00,1.08184242E+0,
312.00,1.06990182E+0,
313.00,1.05692363E+0,
314.00,1.04289126E+0,
315.00,1.02973104E+0,
316.00,1.01765978E+0,
317.00,1.00111878E+0,
318.00,9.87115979E-1,
319.00,9.75839317E-1,
320.00,9.63968039E-1,
321.00,9.50642943E-1,
322.00,9.38310444E-1,
323.00,9.27719653E-1,
324.00,9.17591751E-1,
325.00,9.07016635E-1,
326.00,8.96231592E-1,
327.00,8.85028303E-1,
328.00,8.74652863E-1,
329.00,8.65338504E-1,
330.00,8.54394794E-1,
331.00,8.45453441E-1,
332.00,8.36970866E-1,
333.00,8.26504529E-1,
334.00,8.17530930E-1,
335.00,8.07817698E-1,
336.00,7.99643993E-1,
337.00,7.91386247E-1,
338.00,7.82343984E-1,
339.00,7.75136530E-1,
340.00,7.67345071E-1,
341.00,7.59007215E-1,
342.00,7.52575278E-1,
343.00,7.45043278E-1,
344.00,7.37187505E-1,
345.00,7.30723679E-1,
346.00,7.24223852E-1,
347.00,7.17426062E-1,
348.00,7.09420919E-1,
349.00,7.03406990E-1,
350.00,6.97141230E-1,
351.00,6.90600574E-1,
352.00,6.84497654E-1,
353.00,6.78373933E-1,
354.00,6.70106411E-1,
355.00,6.64037406E-1,
356.00,6.59430444E-1,
357.00,6.52104676E-1,
358.00,6.45864308E-1,
359.00,6.39878690E-1,
360.00,6.34444833E-1,
361.00,6.29882872E-1,
362.00,6.23799324E-1,
363.00,6.17696047E-1,
364.00,6.12056673E-1,
365.00,6.06413543E-1,
366.00,6.00590229E-1,
367.00,5.94515562E-1,
368.00,5.88521004E-1,
369.00,5.84232330E-1,
370.00,5.79017520E-1,
