Labels,26082022-coreshell Absorbance (T),
Type,Transmission Scan,
Comment,,
Start,300.00,
Stop,700.00,
Step,1.00,
Fixed/Offset,n/a,
Xaxis,Wavelength,
Yaxis,Absorbance,
Scan Corr. by File,False,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,n/a,
Repeats,1,
Dwell Time,0.20,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,0.500,
Fixed/Offset Polariser,n/a,
Fixed/Offset Slit,n/a,
Detector,Reference Det,

300.00,3.01492721E-1,
301.00,2.92532980E-1,
302.00,2.90314853E-1,
303.00,2.79967248E-1,
304.00,2.76709169E-1,
305.00,2.76346833E-1,
306.00,2.74035037E-1,
307.00,2.62742072E-1,
308.00,2.58145034E-1,
309.00,2.56662041E-1,
310.00,2.51358777E-1,
311.00,2.44022235E-1,
312.00,2.45964423E-1,
313.00,2.40237981E-1,
314.00,2.37960577E-1,
315.00,2.31019601E-1,
316.00,2.31444076E-1,
317.00,2.26147115E-1,
318.00,2.30471358E-1,
319.00,2.14067131E-1,
320.00,2.17569530E-1,
321.00,2.14719296E-1,
322.00,2.11967230E-1,
323.00,2.03303993E-1,
324.00,2.04135746E-1,
325.00,2.03686163E-1,
326.00,1.99175209E-1,
327.00,1.91353783E-1,
328.00,1.91604421E-1,
329.00,1.94520503E-1,
330.00,1.91007063E-1,
331.00,1.88183740E-1,
332.00,1.83686420E-1,
333.00,1.82415858E-1,
334.00,1.84206873E-1,
335.00,1.77869439E-1,
336.00,1.78117052E-1,
337.00,1.78855672E-1,
338.00,1.71457097E-1,
339.00,1.67721435E-1,
340.00,1.71647936E-1,
341.00,1.68622017E-1,
342.00,1.66328311E-1,
343.00,1.64789721E-1,
344.00,1.60917088E-1,
345.00,1.58804193E-1,
346.00,1.58964112E-1,
347.00,1.51787668E-1,
348.00,1.52418986E-1,
349.00,1.52125210E-1,
350.00,1.53021425E-1,
351.00,1.52064696E-1,
352.00,1.46490872E-1,
353.00,1.47084817E-1,
354.00,1.46950588E-1,
355.00,1.46146998E-1,
356.00,1.41031504E-1,
357.00,1.41999781E-1,
358.00,1.39911145E-1,
359.00,1.39792040E-1,
360.00,1.38232276E-1,
361.00,1.36729792E-1,
362.00,1.37517124E-1,
363.00,1.34202391E-1,
364.00,1.31775081E-1,
365.00,1.28394872E-1,
366.00,1.28389344E-1,
367.00,1.26910076E-1,
368.00,1.23348504E-1,
369.00,1.24655999E-1,
370.00,1.23663530E-1,
371.00,1.20760038E-1,
