Labels,29082022_CoreCdSe Absorbance (T),
Type,Transmission Scan,
Comment,,
Start,300.00,
Stop,700.00,
Step,1.00,
Fixed/Offset,n/a,
Xaxis,Wavelength,
Yaxis,Absorbance,
Scan Corr. by File,False,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,n/a,
Repeats,1,
Dwell Time,0.20,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,0.500,
Fixed/Offset Polariser,n/a,
Fixed/Offset Slit,n/a,
Detector,Reference Det,

300.00,1.85870945E+0,
301.00,1.85414565E+0,
302.00,1.82241714E+0,
303.00,1.81982136E+0,
304.00,1.80518353E+0,
305.00,1.76684666E+0,
306.00,1.74768710E+0,
307.00,1.71952188E+0,
308.00,1.70266759E+0,
309.00,1.67809784E+0,
310.00,1.65952480E+0,
311.00,1.63995409E+0,
312.00,1.62185860E+0,
313.00,1.60026264E+0,
314.00,1.58333087E+0,
315.00,1.56197858E+0,
316.00,1.54073608E+0,
317.00,1.51349223E+0,
318.00,1.47910261E+0,
319.00,1.44348478E+0,
320.00,1.40546620E+0,
321.00,1.35669053E+0,
322.00,1.30488396E+0,
323.00,1.25237143E+0,
324.00,1.20557213E+0,
325.00,1.16314161E+0,
326.00,1.12374508E+0,
327.00,1.08646715E+0,
328.00,1.05334485E+0,
329.00,1.02367616E+0,
330.00,9.99470770E-1,
331.00,9.72897828E-1,
332.00,9.51296806E-1,
333.00,9.29543018E-1,
334.00,9.11095798E-1,
335.00,8.89433324E-1,
336.00,8.69863808E-1,
337.00,8.52513433E-1,
338.00,8.35083961E-1,
339.00,8.17178369E-1,
340.00,8.02179217E-1,
341.00,7.87557483E-1,
342.00,7.74068177E-1,
343.00,7.58059502E-1,
344.00,7.42645919E-1,
345.00,7.29181051E-1,
346.00,7.13862360E-1,
347.00,6.99379027E-1,
348.00,6.87079370E-1,
349.00,6.78037107E-1,
350.00,6.68751121E-1,
351.00,6.60311759E-1,
352.00,6.54501736E-1,
353.00,6.51025057E-1,
354.00,6.44823968E-1,
355.00,6.39239728E-1,
356.00,6.37372851E-1,
357.00,6.33228242E-1,
358.00,6.28610671E-1,
359.00,6.24915719E-1,
360.00,6.21643186E-1,
361.00,6.20519757E-1,
362.00,6.15983307E-1,
363.00,6.13393664E-1,
364.00,6.12472177E-1,
365.00,6.10629141E-1,
366.00,6.07581437E-1,
367.00,6.04915798E-1,
368.00,6.04031265E-1,
369.00,6.02948487E-1,
370.00,5.98686516E-1,
371.00,5.97241044E-1,
