Labels,29082022_CoreCrown1 Absorbance (T),
Type,Transmission Scan,
Comment,,
Start,300.00,
Stop,700.00,
Step,1.00,
Fixed/Offset,n/a,
Xaxis,Wavelength,
Yaxis,Absorbance,
Scan Corr. by File,False,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,n/a,
Repeats,1,
Dwell Time,0.20,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,0.500,
Fixed/Offset Polariser,n/a,
Fixed/Offset Slit,n/a,
Detector,Reference Det,

300.00,3.43682706E-1,
301.00,3.41724426E-1,
302.00,3.41361731E-1,
303.00,3.39942187E-1,
304.00,3.39958251E-1,
305.00,3.39549005E-1,
306.00,3.39155287E-1,
307.00,3.38295072E-1,
308.00,3.37728471E-1,
309.00,3.36192369E-1,
310.00,3.35421115E-1,
311.00,3.35793465E-1,
312.00,3.34646285E-1,
313.00,3.33231628E-1,
314.00,3.31725538E-1,
315.00,3.30810130E-1,
316.00,3.29911023E-1,
317.00,3.27469945E-1,
318.00,3.26314539E-1,
319.00,3.24603915E-1,
320.00,3.22241485E-1,
321.00,3.20539922E-1,
322.00,3.17497283E-1,
323.00,3.13922614E-1,
324.00,3.09531242E-1,
325.00,3.06232244E-1,
326.00,3.02906871E-1,
327.00,2.98458934E-1,
328.00,2.94506937E-1,
329.00,2.90298611E-1,
330.00,2.86478549E-1,
331.00,2.83640593E-1,
332.00,2.81143039E-1,
333.00,2.78073013E-1,
334.00,2.74817467E-1,
335.00,2.70584971E-1,
336.00,2.67141938E-1,
337.00,2.64469773E-1,
338.00,2.61513829E-1,
339.00,2.57471114E-1,
340.00,2.53302842E-1,
341.00,2.49479547E-1,
342.00,2.46795982E-1,
343.00,2.43418977E-1,
344.00,2.40434349E-1,
345.00,2.37076521E-1,
346.00,2.34880581E-1,
347.00,2.32387289E-1,
348.00,2.28783026E-1,
349.00,2.25277200E-1,
350.00,2.22890735E-1,
351.00,2.20244542E-1,
352.00,2.16502488E-1,
353.00,2.13850632E-1,
354.00,2.11743951E-1,
355.00,2.09041864E-1,
356.00,2.06050470E-1,
357.00,2.02890217E-1,
358.00,1.99832201E-1,
359.00,1.98229715E-1,
360.00,1.96565524E-1,
361.00,1.94831520E-1,
362.00,1.92068547E-1,
363.00,1.89693496E-1,
364.00,1.87127754E-1,
365.00,1.84129059E-1,
366.00,1.82505563E-1,
367.00,1.80422083E-1,
368.00,1.77624762E-1,
369.00,1.75955653E-1,
370.00,1.74359828E-1,
371.00,1.72288045E-1,
