Labels,CdSe 060922 csa EmScan1,
Type,Emission Scan,
Comment,Range = [480.00 - 550.00] nm; Peak at 514.00 nm; FWHM = 9.75 nm; Color Coordinates (CIE 1931): x = 0.0501 y = 0.7760,
Start,400.00,
Stop,600.00,
Step,1.00,
Fixed/Offset,350.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.10,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,1.00,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,1.00,
Detector,Detector 1,

400.00,5.71626892E+2,
401.00,5.23270630E+2,
402.00,4.17096283E+2,
403.00,3.34444153E+2,
404.00,2.82356262E+2,
405.00,2.70320374E+2,
406.00,2.87166473E+2,
407.00,3.80467590E+2,
408.00,2.84097809E+2,
409.00,2.16886154E+2,
410.00,1.90666183E+2,
411.00,1.68535324E+2,
412.00,1.99446762E+2,
413.00,1.25164421E+2,
414.00,2.28222900E+2,
415.00,1.95931305E+2,
416.00,3.18132294E+2,
417.00,1.83487335E+2,
418.00,1.42217804E+2,
419.00,2.12615723E+2,
420.00,2.02068924E+2,
421.00,1.31122971E+2,
422.00,1.50965759E+2,
423.00,1.81126221E+2,
424.00,1.50820572E+2,
425.00,1.70151810E+2,
426.00,2.10030548E+2,
427.00,2.70108459E+2,
428.00,2.09960281E+2,
429.00,1.99671570E+2,
430.00,2.79874969E+2,
431.00,1.49919525E+2,
432.00,1.59911972E+2,
433.00,2.00145020E+2,
434.00,2.10901932E+2,
435.00,1.30481903E+2,
436.00,1.80521759E+2,
437.00,1.70435806E+2,
438.00,2.01235382E+2,
439.00,2.22123367E+2,
440.00,1.72063629E+2,
441.00,1.92587173E+2,
442.00,2.83863983E+2,
443.00,1.52380020E+2,
444.00,9.17966614E+1,
445.00,1.63778610E+2,
446.00,1.84939102E+2,
447.00,2.36330704E+2,
448.00,2.36629837E+2,
449.00,2.26422470E+2,
450.00,3.41142334E+2,
451.00,1.45030273E+2,
452.00,1.87407745E+2,
453.00,2.61135468E+2,
454.00,3.45416779E+2,
