Labels,CdSe 060922-csa Absorbance (T),
Type,Transmission Scan,
Comment,,
Start,300.00,
Stop,600.00,
Step,1.00,
Fixed/Offset,n/a,
Xaxis,Wavelength,
Yaxis,Absorbance,
Scan Corr. by File,False,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,n/a,
Repeats,1,
Dwell Time,0.20,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,1.00,
Fixed/Offset Polariser,n/a,
Fixed/Offset Slit,n/a,
Detector,Reference Det,

300.00,1.20559216E+0,
301.00,1.19395280E+0,
302.00,1.18208587E+0,
303.00,1.16924846E+0,
304.00,1.15443826E+0,
305.00,1.13968694E+0,
306.00,1.12580478E+0,
307.00,1.11017966E+0,
308.00,1.09450102E+0,
309.00,1.08024669E+0,
310.00,1.06574142E+0,
311.00,1.05265331E+0,
312.00,1.04067111E+0,
313.00,1.02677846E+0,
314.00,1.01467383E+0,
315.00,1.00323188E+0,
316.00,9.90975559E-1,
317.00,9.74773169E-1,
318.00,9.57200646E-1,
319.00,9.33357835E-1,
320.00,9.05688107E-1,
321.00,8.77591968E-1,
322.00,8.50520551E-1,
323.00,8.18056405E-1,
324.00,7.87859142E-1,
325.00,7.61398435E-1,
326.00,7.33846664E-1,
327.00,7.09403813E-1,
328.00,6.86114252E-1,
329.00,6.65325463E-1,
330.00,6.49438322E-1,
331.00,6.32384062E-1,
332.00,6.17591023E-1,
333.00,6.03501797E-1,
334.00,5.90064824E-1,
335.00,5.76513290E-1,
336.00,5.64591110E-1,
337.00,5.52198172E-1,
338.00,5.41828513E-1,
339.00,5.34256518E-1,
340.00,5.20177782E-1,
341.00,5.10136247E-1,
342.00,5.00601828E-1,
343.00,4.92043555E-1,
344.00,4.83169407E-1,
345.00,4.73726094E-1,
346.00,4.64104772E-1,
347.00,4.55588132E-1,
348.00,4.47865963E-1,
349.00,4.39398080E-1,
350.00,4.32162553E-1,
351.00,4.27070439E-1,
352.00,4.23757076E-1,
353.00,4.19324309E-1,
354.00,4.17091072E-1,
355.00,4.14581805E-1,
356.00,4.10112917E-1,
357.00,4.06578541E-1,
358.00,4.05336857E-1,
359.00,4.02509391E-1,
360.00,4.00682747E-1,
361.00,3.98403496E-1,
362.00,3.95961463E-1,
363.00,3.94750714E-1,
364.00,3.92540514E-1,
365.00,3.90486330E-1,
366.00,3.90158266E-1,
367.00,3.88779640E-1,
368.00,3.87003452E-1,
369.00,3.86556923E-1,
370.00,3.85535747E-1,
371.00,3.84111792E-1,
