Labels,CdSe sample-ue-060922 Absorbance (T),
Type,Transmission Scan,
Comment,,
Start,300.00,
Stop,600.00,
Step,1.00,
Fixed/Offset,n/a,
Xaxis,Wavelength,
Yaxis,Absorbance,
Scan Corr. by File,False,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,n/a,
Repeats,1,
Dwell Time,0.20,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,1.00,
Fixed/Offset Polariser,n/a,
Fixed/Offset Slit,n/a,
Detector,Reference Det,

300.00,9.59423721E-1,
301.00,9.46491897E-1,
302.00,9.32762146E-1,
303.00,9.19267297E-1,
304.00,9.06379580E-1,
305.00,8.92560363E-1,
306.00,8.79653811E-1,
307.00,8.66472185E-1,
308.00,8.53484750E-1,
309.00,8.41025114E-1,
310.00,8.30802441E-1,
311.00,8.18881571E-1,
312.00,8.07276726E-1,
313.00,7.97594965E-1,
314.00,7.88785040E-1,
315.00,7.78408408E-1,
316.00,7.68474936E-1,
317.00,7.56641746E-1,
318.00,7.46096015E-1,
319.00,7.33890474E-1,
320.00,7.21703410E-1,
321.00,7.08253622E-1,
322.00,6.94763720E-1,
323.00,6.81409478E-1,
324.00,6.68232560E-1,
325.00,6.53642714E-1,
326.00,6.40773475E-1,
327.00,6.27876639E-1,
328.00,6.16518080E-1,
329.00,6.07284606E-1,
330.00,5.97149968E-1,
331.00,5.88035643E-1,
332.00,5.79854548E-1,
333.00,5.70654750E-1,
334.00,5.63322663E-1,
335.00,5.55384219E-1,
336.00,5.47435105E-1,
337.00,5.40578544E-1,
338.00,5.34020245E-1,
339.00,5.27769208E-1,
340.00,5.20783186E-1,
341.00,5.12863100E-1,
342.00,5.07539511E-1,
343.00,5.02375066E-1,
344.00,4.96442854E-1,
345.00,4.91303235E-1,
346.00,4.86386001E-1,
347.00,4.80577230E-1,
348.00,4.75209147E-1,
349.00,4.70077187E-1,
350.00,4.64305073E-1,
351.00,4.60960984E-1,
352.00,4.54991639E-1,
353.00,4.50751185E-1,
354.00,4.47575212E-1,
355.00,4.43936557E-1,
356.00,4.39964414E-1,
357.00,4.37250972E-1,
358.00,4.33753818E-1,
359.00,4.29903507E-1,
360.00,4.26017761E-1,
361.00,4.22482759E-1,
362.00,4.18601066E-1,
363.00,4.14537728E-1,
364.00,4.11478937E-1,
365.00,4.08635020E-1,
366.00,4.03669119E-1,
367.00,4.00536895E-1,
368.00,3.98255646E-1,
369.00,3.95758808E-1,
370.00,3.91809881E-1,
371.00,3.89197320E-1,
