Labels,CdSe-2508-50mikron-3 Absorbance (T),
Type,Transmission Scan,
Comment,,
Start,300.00,
Stop,700.00,
Step,1.00,
Fixed/Offset,n/a,
Xaxis,Wavelength,
Yaxis,Absorbance,
Scan Corr. by File,False,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,n/a,
Repeats,1,
Dwell Time,0.20,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,0.500,
Fixed/Offset Polariser,n/a,
Fixed/Offset Slit,n/a,
Detector,Reference Det,

300.00,1.52554357E+0,
301.00,1.51411736E+0,
302.00,1.49731779E+0,
303.00,1.48224735E+0,
304.00,1.46222556E+0,
305.00,1.44488549E+0,
306.00,1.42878044E+0,
307.00,1.41421092E+0,
308.00,1.39207351E+0,
309.00,1.37596023E+0,
310.00,1.34905982E+0,
311.00,1.33449662E+0,
312.00,1.32105589E+0,
313.00,1.30761266E+0,
314.00,1.29423153E+0,
315.00,1.27690029E+0,
316.00,1.25990701E+0,
317.00,1.23654044E+0,
318.00,1.21170545E+0,
319.00,1.17798126E+0,
320.00,1.14530158E+0,
321.00,1.10542619E+0,
322.00,1.07100189E+0,
323.00,1.03071249E+0,
324.00,9.95484054E-1,
325.00,9.58523691E-1,
326.00,9.23807979E-1,
327.00,8.91591907E-1,
328.00,8.65077853E-1,
329.00,8.43016386E-1,
330.00,8.20305586E-1,
331.00,7.99546957E-1,
332.00,7.81076729E-1,
333.00,7.63711154E-1,
334.00,7.47919619E-1,
335.00,7.30752945E-1,
336.00,7.15479910E-1,
337.00,7.01086223E-1,
338.00,6.87630892E-1,
339.00,6.74160779E-1,
340.00,6.60390735E-1,
341.00,6.47326171E-1,
342.00,6.35164261E-1,
343.00,6.24096334E-1,
344.00,6.12129033E-1,
345.00,6.00403786E-1,
346.00,5.88052213E-1,
347.00,5.75917125E-1,
348.00,5.65479934E-1,
349.00,5.57074010E-1,
350.00,5.50135553E-1,
351.00,5.44303656E-1,
352.00,5.38748026E-1,
353.00,5.34129858E-1,
354.00,5.30809402E-1,
355.00,5.27116418E-1,
356.00,5.24004161E-1,
357.00,5.19998014E-1,
358.00,5.16171098E-1,
359.00,5.13963699E-1,
360.00,5.11453986E-1,
361.00,5.09654820E-1,
362.00,5.06925702E-1,
363.00,5.04296899E-1,
364.00,5.03228962E-1,
365.00,5.00344813E-1,
366.00,4.99067098E-1,
367.00,4.98587608E-1,
368.00,4.97489661E-1,
369.00,4.95473295E-1,
370.00,4.93614078E-1,
