Labels,CdSe-CdZnS_26082022 Emission,
Type,Emission Scan,
Comment,Range = [550.00 - 700.00] nm; Peak at 622.00 nm; FWHM = 22.06 nm; Color Coordinates (CIE 1931): x = 0.6854 y = 0.3145,
Start,380.00,
Stop,750.00,
Step,1.00,
Fixed/Offset,350.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.10,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,0.49984244,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,0.49984244,
Detector,Detector 1,

380.00,0.00000000E+0,
381.00,4.20689026E+2,
382.00,1.25303169E+2,
383.00,0.00000000E+0,
384.00,-4.12111130E+1,
385.00,0.00000000E+0,
386.00,1.63512878E+2,
387.00,4.08392220E+1,
388.00,1.63251801E+2,
389.00,3.67576294E+2,
390.00,4.07950195E+2,
391.00,6.51600403E+2,
392.00,4.86410095E+2,
393.00,2.41684280E+2,
394.00,3.99583435E+1,
395.00,1.58337433E+2,
396.00,1.17524773E+2,
397.00,3.87434807E+1,
398.00,-7.66315613E+1,
399.00,7.56717911E+1,
400.00,0.00000000E+0,
401.00,7.38180008E+1,
402.00,0.00000000E+0,
403.00,1.44185043E+2,
404.00,1.07149208E+2,
405.00,1.41763214E+2,
406.00,3.51331367E+1,
407.00,0.00000000E+0,
408.00,-3.46978912E+1,
409.00,3.45337029E+1,
410.00,1.55850723E+2,
411.00,7.74379883E+1,
412.00,7.70143661E+1,
413.00,0.00000000E+0,
414.00,1.14225281E+2,
415.00,3.78404312E+1,
416.00,1.50643875E+2,
417.00,7.49133148E+1,
418.00,-7.45929489E+1,
419.00,7.43072968E+1,
420.00,3.70946579E+1,
421.00,0.00000000E+0,
422.00,1.47845108E+2,
423.00,0.00000000E+0,
424.00,-3.67904015E+1,
425.00,-3.67326775E+1,
426.00,0.00000000E+0,
427.00,1.46798737E+2,
428.00,0.00000000E+0,
429.00,0.00000000E+0,
430.00,3.66768799E+1,
431.00,1.83417770E+2,
432.00,3.67229271E+1,
433.00,1.47059174E+2,
434.00,7.35548401E+1,
435.00,1.47237061E+2,
436.00,1.10448845E+2,
437.00,7.37746735E+1,
438.00,1.47806686E+2,
439.00,-3.70390205E+1,
440.00,1.11330254E+2,
441.00,-3.71878471E+1,
442.00,-3.72501945E+1,
443.00,-3.73075294E+1,
444.00,1.87010132E+2,
445.00,0.00000000E+0,
446.00,-7.52362366E+1,
447.00,3.76929932E+1,
448.00,-3.77372780E+1,
449.00,1.13421593E+2,
450.00,2.27386978E+2,
451.00,1.14024658E+2,
452.00,-7.62544327E+1,
453.00,7.65302811E+1,
454.00,7.67349319E+1,
455.00,-3.85023766E+1,
456.00,0.00000000E+0,
457.00,7.75784836E+1,
458.00,1.94526276E+2,
459.00,3.90375252E+1,
460.00,0.00000000E+0,
461.00,0.00000000E+0,
462.00,2.77030731E+2,
463.00,0.00000000E+0,
464.00,1.19796692E+2,
465.00,4.01171417E+1,
466.00,2.41959320E+2,
467.00,4.05383530E+1,
468.00,4.07485504E+1,
469.00,4.08881989E+1,
470.00,2.05293472E+2,
471.00,-4.12099686E+1,
472.00,0.00000000E+0,
473.00,-4.14254837E+1,
474.00,8.29819717E+1,
475.00,1.66147537E+2,
476.00,4.57579956E+2,
477.00,-4.17214470E+1,
478.00,-4.18387985E+1,
479.00,-8.39503021E+1,
480.00,2.94352844E+2,
481.00,1.68592529E+2,
482.00,1.26529846E+2,
483.00,1.26875954E+2,
484.00,8.48718643E+1,
485.00,1.70294006E+2,
486.00,2.56297607E+2,
487.00,1.28619064E+2,
488.00,4.30427818E+1,
489.00,0.00000000E+0,
490.00,-4.34552002E+1,
491.00,1.74704819E+2,
492.00,-8.78318710E+1,
493.00,0.00000000E+0,
494.00,-4.44209557E+1,
495.00,1.33927567E+2,
496.00,4.04130920E+2,
497.00,2.70749207E+2,
498.00,9.07518997E+1,
499.00,1.36983276E+2,
500.00,4.58867645E+1,
501.00,1.38625381E+2,
502.00,2.32287292E+2,
503.00,4.67294807E+1,
504.00,1.88070938E+2,
505.00,2.84008667E+2,
506.00,4.75831757E+1,
507.00,-4.78436852E+1,
508.00,-4.81499748E+1,
509.00,4.84683647E+1,
510.00,4.87970886E+1,
511.00,-4.91170273E+1,
512.00,-4.94397392E+1,
513.00,1.49335815E+2,
514.00,2.50555710E+2,
515.00,-5.04293365E+1,
516.00,2.53729767E+2,
517.00,1.02151649E+2,
518.00,-5.14285622E+1,
519.00,1.03595406E+2,
520.00,1.04394592E+2,
521.00,1.05112511E+2,
522.00,1.58826492E+2,
523.00,4.26576355E+2,
524.00,4.29529816E+2,
525.00,2.16248444E+2,
526.00,0.00000000E+0,
527.00,4.38520569E+2,
528.00,3.30323151E+2,
529.00,0.00000000E+0,
530.00,1.66482971E+2,
531.00,-5.59920464E+1,
532.00,1.69404099E+2,
533.00,4.55173553E+2,
534.00,5.73359375E+1,
535.00,2.88989594E+2,
536.00,5.81990700E+1,
537.00,1.75900253E+2,
538.00,-5.90877457E+1,
539.00,9.52982544E+2,
540.00,2.99924469E+2,
541.00,3.62799011E+2,
542.00,2.43622711E+2,
543.00,6.13506653E+2,
544.00,1.85494980E+2,
545.00,4.98077637E+2,
546.00,3.13714966E+2,
547.00,5.05932404E+2,
548.00,8.92218933E+2,
549.00,7.05839111E+2,
550.00,5.81962524E+2,
551.00,9.77119019E+2,
552.00,1.24673181E+3,
553.00,5.94884338E+2,
554.00,1.26449146E+3,
555.00,1.61069263E+3,
556.00,1.75730701E+3,
557.00,1.29402869E+3,
558.00,1.23536230E+3,
559.00,1.31498035E+3,
