Labels,CdSe_190822 Absorbance (T) (260822),
Type,Transmission Scan,
Comment,,
Start,300.00,
Stop,700.00,
Step,1.00,
Fixed/Offset,n/a,
Xaxis,Wavelength,
Yaxis,Absorbance,
Scan Corr. by File,False,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,n/a,
Repeats,3,
Dwell Time,0.20,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,0.500,
Fixed/Offset Polariser,n/a,
Fixed/Offset Slit,n/a,
Detector,Reference Det,

300.00,1.44662750E+0,
301.00,1.43565536E+0,
302.00,1.42217350E+0,
303.00,1.40502775E+0,
304.00,1.38606894E+0,
305.00,1.36835682E+0,
306.00,1.34852600E+0,
307.00,1.33109975E+0,
308.00,1.30999184E+0,
309.00,1.29276812E+0,
310.00,1.27980769E+0,
311.00,1.26330602E+0,
312.00,1.24571407E+0,
313.00,1.23092496E+0,
314.00,1.21790278E+0,
315.00,1.20052004E+0,
316.00,1.18263996E+0,
317.00,1.16108930E+0,
318.00,1.13752711E+0,
319.00,1.10958934E+0,
320.00,1.07627869E+0,
321.00,1.04138207E+0,
322.00,1.00427520E+0,
323.00,9.68050718E-1,
324.00,9.34183121E-1,
325.00,8.99633706E-1,
326.00,8.68359625E-1,
327.00,8.39816749E-1,
328.00,8.15254450E-1,
329.00,7.92174757E-1,
330.00,7.71976411E-1,
331.00,7.53092051E-1,
332.00,7.36481726E-1,
333.00,7.20561266E-1,
334.00,7.05588520E-1,
335.00,6.90748513E-1,
336.00,6.76212907E-1,
337.00,6.62176192E-1,
338.00,6.48174822E-1,
339.00,6.34870648E-1,
340.00,6.23285592E-1,
341.00,6.11394167E-1,
342.00,6.00270033E-1,
343.00,5.90109229E-1,
344.00,5.80068648E-1,
345.00,5.68850458E-1,
346.00,5.57429254E-1,
347.00,5.46921849E-1,
348.00,5.36911488E-1,
349.00,5.28187513E-1,
350.00,5.21296203E-1,
351.00,5.15555382E-1,
352.00,5.09929895E-1,
353.00,5.05505919E-1,
354.00,5.01398921E-1,
355.00,4.97941762E-1,
356.00,4.95551497E-1,
357.00,4.92524624E-1,
358.00,4.89451796E-1,
359.00,4.86949593E-1,
360.00,4.84724820E-1,
361.00,4.82699186E-1,
362.00,4.80527550E-1,
363.00,4.79036123E-1,
364.00,4.77002650E-1,
365.00,4.75139767E-1,
366.00,4.73443478E-1,
367.00,4.71763283E-1,
368.00,4.70113337E-1,
369.00,4.68846291E-1,
370.00,4.67250079E-1,
371.00,4.65959936E-1,
