Labels,CdSe_23082022(19,
Type,Transmission Scan,
Comment,,
Start,300.00,
Stop,700.00,
Step,1.00,
Fixed/Offset,n/a,
Xaxis,Wavelength,
Yaxis,Absorbance,
Scan Corr. by File,False,
Corr. by Ref. Det.,False,
Fixed/Offset Corr. by File,n/a,
Repeats,1,
Dwell Time,0.20,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,0.500,
Fixed/Offset Polariser,n/a,
Fixed/Offset Slit,n/a,
Detector,Reference Det,

300.00,2.54406810E+0,
301.00,2.68484545E+0,
302.00,2.57316184E+0,
303.00,2.58602428E+0,
304.00,2.60260248E+0,
305.00,2.73692751E+0,
306.00,2.62376595E+0,
307.00,2.45712471E+0,
308.00,2.39917898E+0,
309.00,2.41017437E+0,
310.00,2.49276042E+0,
311.00,2.43797684E+0,
312.00,2.52266145E+0,
313.00,2.38560629E+0,
314.00,2.40717840E+0,
315.00,2.41747165E+0,
316.00,2.37332082E+0,
317.00,2.32960129E+0,
318.00,2.33745933E+0,
319.00,2.23377681E+0,
320.00,2.21484375E+0,
321.00,2.11320043E+0,
322.00,2.06725693E+0,
323.00,1.97662508E+0,
324.00,1.90000284E+0,
325.00,1.83974731E+0,
326.00,1.78341544E+0,
327.00,1.72826743E+0,
328.00,1.66450274E+0,
329.00,1.60532212E+0,
330.00,1.56903934E+0,
331.00,1.53280401E+0,
332.00,1.49722946E+0,
333.00,1.46600354E+0,
334.00,1.43524575E+0,
335.00,1.40162385E+0,
336.00,1.37835133E+0,
337.00,1.34663236E+0,
338.00,1.31945312E+0,
339.00,1.28435349E+0,
340.00,1.25976336E+0,
341.00,1.24093997E+0,
342.00,1.21651626E+0,
343.00,1.19093382E+0,
344.00,1.16942680E+0,
345.00,1.14642477E+0,
346.00,1.12698793E+0,
347.00,1.10435402E+0,
348.00,1.07729518E+0,
349.00,1.05786717E+0,
350.00,1.05327618E+0,
351.00,1.03587818E+0,
352.00,1.02382898E+0,
353.00,1.00785148E+0,
354.00,1.00227976E+0,
355.00,9.95606720E-1,
356.00,9.92865324E-1,
357.00,9.81302798E-1,
358.00,9.86159503E-1,
359.00,9.74344969E-1,
360.00,9.72200036E-1,
361.00,9.73654747E-1,
362.00,9.63591695E-1,
363.00,9.60862339E-1,
364.00,9.61614192E-1,
365.00,9.58794475E-1,
366.00,9.49431479E-1,
367.00,9.46308732E-1,
368.00,9.43171918E-1,
369.00,9.39082563E-1,
370.00,9.36133206E-1,
371.00,9.32142615E-1,
