Labels,CdSe_NPL_220722 Absorbance (T),
Type,Transmission Scan,
Comment,,
Start,300.00,
Stop,700.00,
Step,1.00,
Fixed/Offset,n/a,
Xaxis,Wavelength,
Yaxis,Absorbance,
Scan Corr. by File,False,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,n/a,
Repeats,1,
Dwell Time,0.20,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,1.00,
Fixed/Offset Polariser,n/a,
Fixed/Offset Slit,n/a,
Detector,Reference Det,

300.00,6.67432189E-1,
301.00,6.61334634E-1,
302.00,6.53663695E-1,
303.00,6.45296454E-1,
304.00,6.37675047E-1,
305.00,6.29516184E-1,
306.00,6.21093392E-1,
307.00,6.11750841E-1,
308.00,6.02675676E-1,
309.00,5.94368339E-1,
310.00,5.86923182E-1,
311.00,5.79453886E-1,
312.00,5.72475374E-1,
313.00,5.65704107E-1,
314.00,5.59302568E-1,
315.00,5.51921070E-1,
316.00,5.44037402E-1,
317.00,5.33776939E-1,
318.00,5.22302926E-1,
319.00,5.09030819E-1,
320.00,4.94651169E-1,
321.00,4.76602405E-1,
322.00,4.59892601E-1,
323.00,4.42950070E-1,
324.00,4.26601648E-1,
325.00,4.11382556E-1,
326.00,3.96996826E-1,
327.00,3.84289443E-1,
328.00,3.73014629E-1,
329.00,3.62787694E-1,
330.00,3.53153259E-1,
331.00,3.43632132E-1,
332.00,3.36407453E-1,
333.00,3.28818589E-1,
334.00,3.21678907E-1,
335.00,3.14601570E-1,
336.00,3.08059543E-1,
337.00,3.01457465E-1,
338.00,2.93964833E-1,
339.00,2.87638932E-1,
340.00,2.83265859E-1,
341.00,2.78598875E-1,
342.00,2.74070799E-1,
343.00,2.68727779E-1,
344.00,2.64295489E-1,
345.00,2.59696335E-1,
346.00,2.54393607E-1,
347.00,2.49239504E-1,
348.00,2.44724423E-1,
349.00,2.40673929E-1,
350.00,2.37652183E-1,
351.00,2.35413477E-1,
352.00,2.32820883E-1,
353.00,2.30273664E-1,
354.00,2.29103208E-1,
355.00,2.26969287E-1,
356.00,2.25884929E-1,
357.00,2.25003853E-1,
358.00,2.23111942E-1,
359.00,2.21973121E-1,
360.00,2.21030846E-1,
361.00,2.20418617E-1,
362.00,2.19385713E-1,
363.00,2.18101367E-1,
364.00,2.17089504E-1,
365.00,2.16416270E-1,
366.00,2.16147631E-1,
367.00,2.15141386E-1,
368.00,2.14563847E-1,
369.00,2.13678107E-1,
370.00,2.12957546E-1,
371.00,2.12689340E-1,
