Labels,CdSe_NPL_220722_PL,
Type,Emission Scan,
Comment,Range = [480.00 - 550.00] nm; Peak at 514.00 nm; FWHM = 8.45 nm; Color Coordinates (CIE 1931): x = 0.0444 y = 0.7750,
Start,380.00,
Stop,700.00,
Step,1.00,
Fixed/Offset,350.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.10,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,1.00,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,1.00,
Detector,Detector 1,

380.00,8.26680069E+1,
381.00,0.00000000E+0,
382.00,4.88067703E+1,
383.00,6.44978943E+1,
384.00,0.00000000E+0,
385.00,7.17971954E+1,
386.00,1.27243668E+2,
387.00,1.19025314E+2,
388.00,2.62148224E+2,
389.00,7.62549622E+2,
390.00,1.74485425E+3,
391.00,2.04190686E+3,
392.00,1.33308765E+3,
393.00,8.30506409E+2,
394.00,2.94602875E+2,
395.00,1.30411072E+2,
396.00,1.36799530E+2,
397.00,2.02998306E+2,
398.00,8.17175980E+1,
399.00,3.66974487E+1,
400.00,5.80131340E+1,
401.00,4.30247383E+1,
402.00,3.54542999E+1,
403.00,0.00000000E+0,
404.00,2.77402229E+1,
405.00,6.89432240E+0,
406.00,-1.36488934E+1,
407.00,6.10328102E+1,
408.00,7.42550278E+1,
409.00,2.68212547E+1,
410.00,0.00000000E+0,
411.00,-2.25914001E+1,
412.00,0.00000000E+0,
413.00,8.19083786E+1,
414.00,-1.48104706E+1,
415.00,1.47193928E+1,
416.00,5.12132225E+1,
417.00,-3.64005699E+1,
418.00,0.00000000E+0,
419.00,-4.33111572E+1,
420.00,2.88278484E+1,
421.00,-7.19409323E+0,
422.00,0.00000000E+0,
423.00,3.58381462E+1,
424.00,-2.86218929E+1,
425.00,7.14078379E+0,
426.00,-7.14029360E+0,
427.00,4.28435898E+1,
428.00,1.42846746E+1,
429.00,7.12767410E+0,
430.00,2.85248795E+1,
431.00,5.71321602E+1,
432.00,2.14350700E+1,
433.00,2.85849400E+1,
434.00,4.29635048E+1,
435.00,1.43139200E+1,
436.00,2.86559162E+1,
437.00,1.43554182E+1,
438.00,3.59202614E+1,
439.00,3.60400963E+1,
440.00,6.49840393E+1,
441.00,2.89391174E+1,
442.00,-2.17133369E+1,
443.00,4.35700989E+1,
444.00,6.54762115E+1,
445.00,8.02663269E+1,
446.00,1.53673325E+2,
447.00,2.41803070E+2,
448.00,1.24737473E+2,
449.00,3.38379944E+2,
450.00,3.16824127E+2,
451.00,2.80772430E+2,
452.00,6.30926941E+2,
453.00,6.62419678E+2,
454.00,1.09694360E+3,
455.00,1.38536121E+3,
456.00,2.08224585E+3,
457.00,2.73931641E+3,
458.00,4.12504834E+3,
459.00,5.94601709E+3,
460.00,7.91998096E+3,
461.00,9.92140527E+3,
462.00,1.12498447E+4,
463.00,1.07019346E+4,
464.00,9.74120020E+3,
465.00,7.65573633E+3,
466.00,5.56624609E+3,
467.00,4.34895459E+3,
468.00,3.08753198E+3,
469.00,2.38805493E+3,
470.00,1.95664124E+3,
471.00,1.48276343E+3,
472.00,1.37639539E+3,
473.00,1.03963647E+3,
474.00,9.27733093E+2,
475.00,9.29944092E+2,
476.00,1.02150220E+3,
477.00,1.16094006E+3,
478.00,7.74098938E+2,
479.00,1.29075012E+3,
480.00,1.22713281E+3,
481.00,1.62340027E+3,
482.00,1.66831445E+3,
483.00,1.86809241E+3,
484.00,1.86453918E+3,
485.00,2.28797925E+3,
486.00,2.71773682E+3,
487.00,3.23497949E+3,
488.00,3.89691553E+3,
489.00,4.38140869E+3,
490.00,4.95360596E+3,
491.00,5.61492773E+3,
492.00,6.71470264E+3,
493.00,7.67890283E+3,
494.00,9.44434961E+3,
495.00,1.11354365E+4,
496.00,1.34806836E+4,
497.00,1.56266582E+4,
498.00,1.99057363E+4,
499.00,2.33611602E+4,
500.00,3.04191406E+4,
501.00,3.57867266E+4,
502.00,4.62961484E+4,
503.00,5.86209844E+4,
504.00,7.05604844E+4,
505.00,9.07611328E+4,
506.00,1.14461000E+5,
507.00,1.48842563E+5,
508.00,1.85960703E+5,
509.00,2.35537453E+5,
510.00,2.98353344E+5,
511.00,3.73990000E+5,
512.00,4.42059156E+5,
513.00,5.03988938E+5,
514.00,5.21798656E+5,
515.00,4.84223781E+5,
516.00,4.13347156E+5,
517.00,3.30522438E+5,
518.00,2.51606422E+5,
519.00,1.94711891E+5,
520.00,1.45387156E+5,
521.00,1.11240820E+5,
522.00,8.81095547E+4,
523.00,6.85144297E+4,
