Labels,CdSe_NPL_250722  Absorbance (T),
Type,Transmission Scan,
Comment,,
Start,300.00,
Stop,700.00,
Step,1.00,
Fixed/Offset,n/a,
Xaxis,Wavelength,
Yaxis,Absorbance,
Scan Corr. by File,False,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,n/a,
Repeats,1,
Dwell Time,0.20,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,0.500,
Fixed/Offset Polariser,n/a,
Fixed/Offset Slit,n/a,
Detector,Reference Det,

300.00,1.88243461E+0,
301.00,1.85934663E+0,
302.00,1.83970511E+0,
303.00,1.82098007E+0,
304.00,1.81775975E+0,
305.00,1.80308485E+0,
306.00,1.77696359E+0,
307.00,1.75481939E+0,
308.00,1.74405169E+0,
309.00,1.73339295E+0,
310.00,1.69637918E+0,
311.00,1.68178415E+0,
312.00,1.66554618E+0,
313.00,1.64968288E+0,
314.00,1.63456404E+0,
315.00,1.61223316E+0,
316.00,1.59810126E+0,
317.00,1.56850338E+0,
318.00,1.54105961E+0,
319.00,1.49560893E+0,
320.00,1.46139944E+0,
321.00,1.41287124E+0,
322.00,1.36265457E+0,
323.00,1.31226945E+0,
324.00,1.26053178E+0,
325.00,1.21625972E+0,
326.00,1.17141700E+0,
327.00,1.13290894E+0,
328.00,1.09917915E+0,
329.00,1.06489646E+0,
330.00,1.03695560E+0,
331.00,1.00969863E+0,
332.00,9.86217499E-1,
333.00,9.63679194E-1,
334.00,9.42002475E-1,
335.00,9.19857979E-1,
336.00,9.00423050E-1,
337.00,8.79593849E-1,
338.00,8.59991968E-1,
339.00,8.42603385E-1,
340.00,8.27334583E-1,
341.00,8.10451210E-1,
342.00,7.96314180E-1,
343.00,7.80751646E-1,
344.00,7.65241385E-1,
345.00,7.49167085E-1,
346.00,7.33299375E-1,
347.00,7.18349993E-1,
348.00,7.06490517E-1,
349.00,6.94605410E-1,
350.00,6.84975505E-1,
351.00,6.76094711E-1,
352.00,6.70019269E-1,
353.00,6.63225174E-1,
354.00,6.58348143E-1,
355.00,6.53492391E-1,
356.00,6.48917139E-1,
357.00,6.44847035E-1,
358.00,6.40180409E-1,
359.00,6.37600839E-1,
360.00,6.32082820E-1,
361.00,6.29446745E-1,
362.00,6.27931476E-1,
363.00,6.24815285E-1,
364.00,6.21397674E-1,
365.00,6.18717253E-1,
366.00,6.17588520E-1,
367.00,6.14413917E-1,
368.00,6.12105012E-1,
369.00,6.10754669E-1,
370.00,6.08091652E-1,
371.00,6.06956959E-1,
