Labels,EmScan1,
Type,Emission Scan,
Comment,Range = [320.00 - 440.00] nm; Peak at 331.00 nm; FWHM = 22.62 nm; Color Coordinates (CIE 1931): x = 0.1691 y = 0.0070,
Start,320.00,
Stop,500.00,
Step,1.00,
Fixed/Offset,300.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.10,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,0.99968487,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,3.0001483,
Detector,Detector 1,

320.00,1.76731396E+3,
321.00,1.54085095E+3,
322.00,1.29928955E+3,
323.00,1.35338818E+3,
324.00,1.16953699E+3,
325.00,1.10622998E+3,
326.00,1.25378198E+3,
327.00,1.53242273E+3,
328.00,1.86873938E+3,
329.00,2.46588477E+3,
330.00,2.84403125E+3,
331.00,2.92547656E+3,
332.00,2.58308423E+3,
333.00,2.06016919E+3,
334.00,1.70723218E+3,
335.00,1.54731555E+3,
336.00,1.40037146E+3,
337.00,1.32494189E+3,
338.00,1.28078015E+3,
339.00,1.12506555E+3,
340.00,1.13185303E+3,
341.00,1.04132971E+3,
342.00,1.27222192E+3,
343.00,1.45712732E+3,
344.00,1.61969067E+3,
345.00,1.98947034E+3,
346.00,2.48571167E+3,
347.00,2.62728418E+3,
348.00,2.67886328E+3,
349.00,2.90229980E+3,
350.00,2.61002686E+3,
351.00,2.32860181E+3,
352.00,2.19712451E+3,
353.00,2.05174512E+3,
354.00,2.10427783E+3,
355.00,1.98816052E+3,
356.00,1.87918408E+3,
357.00,1.77904163E+3,
358.00,1.75057715E+3,
359.00,1.53709546E+3,
360.00,1.60853320E+3,
361.00,1.45791504E+3,
362.00,1.47045093E+3,
363.00,1.54795300E+3,
364.00,1.45256494E+3,
365.00,1.58612585E+3,
366.00,1.55182080E+3,
367.00,1.48514600E+3,
368.00,1.56910938E+3,
369.00,1.55088660E+3,
370.00,1.48228516E+3,
371.00,1.49743481E+3,
372.00,1.20314001E+3,
373.00,1.19611597E+3,
374.00,1.03633582E+3,
375.00,1.12401526E+3,
376.00,1.09229895E+3,
377.00,1.05479333E+3,
378.00,1.08707629E+3,
379.00,1.07144031E+3,
380.00,1.06391724E+3,
381.00,1.02100464E+3,
382.00,1.01559747E+3,
