Labels,EmScan1,
Type,Emission Scan,
Comment,Range = [475.00 - 550.00] nm; Peak at 514.00 nm; FWHM = 9.32 nm; Color Coordinates (CIE 1931): x = 0.0472 y = 0.7765,
Start,380.00,
Stop,700.00,
Step,1.00,
Fixed/Offset,350.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.10,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,0.49984244,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,0.49984244,
Detector,Detector 1,

380.00,-1.29792114E+2,
381.00,-4.27725410E+1,
382.00,-8.49764328E+1,
383.00,-2.95142456E+2,
384.00,2.09291504E+2,
385.00,2.08372391E+2,
386.00,4.15622833E+2,
387.00,0.00000000E+0,
388.00,8.30339584E+1,
389.00,4.15045547E+1,
390.00,1.65910782E+2,
391.00,1.24220634E+2,
392.00,4.12333946E+1,
393.00,4.09547821E+2,
394.00,3.65643127E+2,
395.00,3.62220978E+2,
396.00,1.59321945E+2,
397.00,3.54706299E+2,
398.00,3.11500305E+2,
399.00,4.61862793E+2,
400.00,3.42118561E+2,
401.00,1.87633240E+2,
402.00,3.33716278E+2,
403.00,1.46670990E+2,
404.00,1.81478424E+2,
405.00,5.04725952E+2,
406.00,2.49920731E+2,
407.00,1.41942200E+2,
408.00,-7.05922546E+1,
409.00,-3.50940895E+1,
410.00,0.00000000E+0,
411.00,7.87338562E+1,
412.00,7.83031464E+1,
413.00,-3.89538002E+1,
414.00,1.93757782E+2,
415.00,1.15595810E+2,
416.00,1.53242493E+2,
417.00,-7.62435837E+1,
418.00,1.13876297E+2,
419.00,1.13554382E+2,
420.00,1.13260094E+2,
421.00,7.53792038E+1,
422.00,-3.75985413E+1,
423.00,0.00000000E+0,
424.00,-7.48115005E+1,
425.00,3.73470612E+2,
426.00,1.86690430E+2,
427.00,7.46648712E+1,
428.00,7.46234894E+1,
429.00,2.23871140E+2,
430.00,7.46191177E+1,
431.00,0.00000000E+0,
432.00,-3.73564034E+1,
433.00,-7.47979813E+1,
434.00,1.12291473E+2,
435.00,1.49776917E+2,
436.00,3.74700432E+1,
437.00,-7.50472946E+1,
438.00,3.38470551E+2,
439.00,-1.50786957E+2,
440.00,0.00000000E+0,
441.00,1.13488037E+2,
442.00,3.79120026E+1,
443.00,4.55871552E+2,
444.00,1.14198578E+2,
445.00,3.81572174E+2,
446.00,3.06136292E+2,
447.00,6.52165283E+2,
448.00,7.68537827E+1,
449.00,0.00000000E+0,
450.00,1.15771141E+2,
451.00,1.93513931E+2,
452.00,6.60007263E+2,
453.00,8.95734497E+2,
454.00,1.21112659E+3,
455.00,1.64665088E+3,
456.00,1.53459412E+3,
457.00,2.76348779E+3,
458.00,2.96822803E+3,
459.00,5.32396533E+3,
460.00,6.69998926E+3,
461.00,8.29472559E+3,
