Labels,ZnSe-020922 Absorbance (T),
Type,Transmission Scan,
Comment,,
Start,250.00,
Stop,500.00,
Step,1.00,
Fixed/Offset,n/a,
Xaxis,Wavelength,
Yaxis,Absorbance,
Scan Corr. by File,False,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,n/a,
Repeats,1,
Dwell Time,0.20,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,2.00,
Fixed/Offset Polariser,n/a,
Fixed/Offset Slit,n/a,
Detector,Reference Det,

250.00,1.61884201E+0,
251.00,1.59330618E+0,
252.00,1.56455779E+0,
253.00,1.53469241E+0,
254.00,1.50627029E+0,
255.00,1.47069621E+0,
256.00,1.43129981E+0,
257.00,1.39749599E+0,
258.00,1.36146522E+0,
259.00,1.32507467E+0,
260.00,1.29745519E+0,
261.00,1.26407743E+0,
262.00,1.23635972E+0,
263.00,1.20482492E+0,
264.00,1.17767584E+0,
265.00,1.15843046E+0,
266.00,1.12667203E+0,
267.00,1.10466385E+0,
268.00,1.08379388E+0,
269.00,1.05938971E+0,
270.00,1.03179419E+0,
271.00,1.02083576E+0,
272.00,1.00160050E+0,
273.00,9.85029221E-1,
274.00,9.70016003E-1,
275.00,9.59084392E-1,
276.00,9.42550182E-1,
277.00,9.32275116E-1,
278.00,9.16866362E-1,
279.00,9.04435098E-1,
280.00,8.86050344E-1,
281.00,8.77148092E-1,
282.00,8.66844535E-1,
283.00,8.54008794E-1,
284.00,8.42441678E-1,
285.00,8.34345460E-1,
286.00,8.26550722E-1,
287.00,8.23587120E-1,
288.00,8.13641071E-1,
289.00,8.05289686E-1,
290.00,8.04113269E-1,
291.00,7.98105061E-1,
292.00,7.92988122E-1,
293.00,7.88492501E-1,
294.00,7.77035475E-1,
295.00,7.68850148E-1,
296.00,7.67132640E-1,
297.00,7.54854858E-1,
298.00,7.51982689E-1,
299.00,7.47721076E-1,
300.00,7.43527710E-1,
301.00,7.39940524E-1,
302.00,7.40004241E-1,
303.00,7.35270321E-1,
304.00,7.31991351E-1,
305.00,7.29257524E-1,
306.00,7.22911060E-1,
307.00,7.15415120E-1,
308.00,7.02076197E-1,
309.00,6.97331011E-1,
310.00,6.90047741E-1,
311.00,6.95889890E-1,
312.00,7.01555014E-1,
313.00,7.13294804E-1,
314.00,7.31480718E-1,
315.00,7.52130151E-1,
316.00,7.74771869E-1,
317.00,7.95608819E-1,
318.00,8.03060055E-1,
319.00,8.10354054E-1,
320.00,8.11897397E-1,
321.00,8.12728286E-1,
