Labels,ZnSe_010920212_Diluted,
Type,Emission Scan,
Comment,,
Start,320.00,
Stop,500.00,
Step,1.00,
Fixed/Offset,300.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.10,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,1.00,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,1.00,
Detector,Detector 1,

320.00,3.41589478E+3,
321.00,4.86263330E+3,
322.00,3.16925537E+3,
323.00,3.68505981E+3,
324.00,2.61786035E+3,
325.00,2.70978467E+3,
326.00,1.75017383E+3,
327.00,2.07056665E+3,
328.00,2.01146619E+3,
329.00,3.23516968E+3,
330.00,4.30365234E+3,
331.00,5.54694482E+3,
332.00,6.57998633E+3,
333.00,8.55343457E+3,
334.00,8.30622754E+3,
335.00,8.61645703E+3,
336.00,7.34857764E+3,
337.00,8.40971875E+3,
338.00,8.00363184E+3,
339.00,6.48595605E+3,
340.00,7.06689893E+3,
341.00,6.18975488E+3,
342.00,4.20497461E+3,
343.00,3.35429541E+3,
344.00,4.39460010E+3,
345.00,3.28467456E+3,
346.00,5.29824268E+3,
347.00,7.07751514E+3,
348.00,1.08462998E+4,
349.00,1.53617822E+4,
350.00,1.70077246E+4,
351.00,1.91051387E+4,
352.00,2.05220918E+4,
353.00,1.82168809E+4,
354.00,1.87701074E+4,
355.00,1.99368457E+4,
356.00,1.93795820E+4,
357.00,2.15477402E+4,
358.00,1.87153223E+4,
359.00,2.09684902E+4,
360.00,2.05433379E+4,
361.00,2.09137949E+4,
362.00,2.16505879E+4,
363.00,2.10243516E+4,
364.00,2.06732891E+4,
365.00,2.07575977E+4,
366.00,2.17429375E+4,
367.00,2.16737676E+4,
368.00,2.13742480E+4,
369.00,2.21150234E+4,
370.00,2.18376113E+4,
371.00,2.28065215E+4,
372.00,2.30707207E+4,
373.00,2.21330000E+4,
374.00,2.41333457E+4,
375.00,2.37978633E+4,
376.00,2.44182051E+4,
377.00,2.53773809E+4,
378.00,2.47391055E+4,
379.00,2.43495918E+4,
380.00,2.57428184E+4,
381.00,2.60000762E+4,
382.00,2.62506836E+4,
383.00,2.76015957E+4,
384.00,2.61733418E+4,
385.00,2.64320488E+4,
386.00,2.60520117E+4,
387.00,2.52840801E+4,
388.00,2.59101836E+4,
389.00,2.45702734E+4,
390.00,2.67830742E+4,
391.00,2.64797051E+4,
392.00,2.59220859E+4,
393.00,2.70126875E+4,
394.00,2.64000586E+4,
395.00,2.57358281E+4,
396.00,2.83255449E+4,
397.00,2.81896172E+4,
398.00,2.73062813E+4,
399.00,2.77012285E+4,
400.00,2.69056094E+4,
401.00,2.85103848E+4,
402.00,2.76025703E+4,
403.00,2.76059160E+4,
404.00,2.78043242E+4,
405.00,2.71129922E+4,
406.00,2.86034434E+4,
407.00,2.88512168E+4,
408.00,2.72192539E+4,
409.00,2.72587227E+4,
410.00,2.84896230E+4,
411.00,2.67583691E+4,
412.00,2.78771699E+4,
413.00,2.69757012E+4,
414.00,2.62897910E+4,
415.00,2.70599727E+4,
416.00,2.68253145E+4,
417.00,2.76664883E+4,
418.00,2.68210527E+4,
419.00,2.50361504E+4,
420.00,2.60435137E+4,
421.00,2.54002734E+4,
422.00,2.67111016E+4,
423.00,2.55362383E+4,
424.00,2.57310176E+4,
425.00,2.60197246E+4,
426.00,2.38170488E+4,
427.00,2.50554141E+4,
428.00,2.65612852E+4,
429.00,2.58464336E+4,
430.00,2.54407559E+4,
431.00,2.57508438E+4,
432.00,2.40239277E+4,
433.00,2.41594141E+4,
434.00,2.72409961E+4,
435.00,2.52213750E+4,
436.00,2.29275762E+4,
437.00,2.29050684E+4,
438.00,2.36314551E+4,
439.00,2.18679355E+4,
440.00,2.22065430E+4,
441.00,2.12585664E+4,
442.00,2.25877520E+4,
443.00,2.13749180E+4,
444.00,2.21172129E+4,
445.00,2.15227246E+4,
446.00,2.07371445E+4,
447.00,2.05426133E+4,
448.00,1.87707871E+4,
449.00,1.94458730E+4,
450.00,1.96774648E+4,
451.00,1.93288887E+4,
452.00,1.90243594E+4,
453.00,1.86611465E+4,
454.00,1.77705293E+4,
455.00,1.76519453E+4,
456.00,1.80653086E+4,
457.00,1.69087520E+4,
458.00,1.69306992E+4,
459.00,1.83271055E+4,
460.00,1.76410527E+4,
461.00,1.77719238E+4,
462.00,1.73452949E+4,
463.00,1.66359277E+4,
464.00,1.61113916E+4,
465.00,1.57983662E+4,
466.00,1.41269170E+4,
467.00,1.38580195E+4,
468.00,1.62579453E+4,
469.00,1.44688604E+4,
470.00,1.39508574E+4,
471.00,1.55053203E+4,
472.00,1.20890576E+4,
473.00,1.30924727E+4,
474.00,1.30874102E+4,
475.00,1.37992432E+4,
476.00,1.32464150E+4,
477.00,1.27718633E+4,
478.00,1.08772607E+4,
479.00,1.22999561E+4,
480.00,1.26533936E+4,
481.00,1.27695732E+4,
482.00,1.22780684E+4,
483.00,1.15692041E+4,
484.00,1.06014307E+4,
485.00,1.21417451E+4,
486.00,1.10546973E+4,
487.00,1.10025723E+4,
488.00,1.07013799E+4,
489.00,1.00981123E+4,
490.00,1.00553086E+4,
491.00,9.54319043E+3,
492.00,9.36903223E+3,
493.00,9.63433398E+3,
494.00,9.63517773E+3,
495.00,9.32110645E+3,
496.00,9.12300195E+3,
497.00,8.70728906E+3,
498.00,8.15568164E+3,
499.00,7.93389746E+3,
500.00,8.45143457E+3,
