Labels,ZnSe_01092022 Absorbance (T),
Type,Transmission Scan,
Comment,,
Start,300.00,
Stop,700.00,
Step,1.00,
Fixed/Offset,n/a,
Xaxis,Wavelength,
Yaxis,Absorbance,
Scan Corr. by File,False,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,n/a,
Repeats,1,
Dwell Time,0.20,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,0.500,
Fixed/Offset Polariser,n/a,
Fixed/Offset Slit,n/a,
Detector,Reference Det,

300.00,2.38872337E+0,
301.00,2.40038610E+0,
302.00,2.41211605E+0,
303.00,2.32751274E+0,
304.00,2.38479090E+0,
305.00,2.39700222E+0,
306.00,2.36271691E+0,
307.00,2.33357549E+0,
308.00,2.38555646E+0,
309.00,2.35568094E+0,
310.00,2.40734148E+0,
311.00,2.42028522E+0,
312.00,2.42831707E+0,
313.00,2.43544817E+0,
314.00,2.44302869E+0,
315.00,2.45020509E+0,
316.00,2.41589808E+0,
317.00,2.42344499E+0,
318.00,2.39254045E+0,
319.00,2.47842669E+0,
320.00,2.48576140E+0,
321.00,2.59192467E+0,
322.00,2.72083473E+0,
323.00,2.65693092E+0,
324.00,2.60345483E+0,
325.00,2.66631866E+0,
326.00,2.67142081E+0,
327.00,2.67642665E+0,
328.00,2.74783397E+0,
329.00,2.62717271E+0,
330.00,2.58026814E+0,
331.00,2.45989919E+0,
332.00,2.20041704E+0,
333.00,2.00301838E+0,
334.00,1.86060345E+0,
335.00,1.76927447E+0,
336.00,1.75218499E+0,
337.00,1.77652931E+0,
338.00,1.85764682E+0,
339.00,1.98817253E+0,
340.00,2.19104028E+0,
341.00,2.39820457E+0,
342.00,2.53535151E+0,
343.00,2.67609715E+0,
344.00,2.67863011E+0,
345.00,2.62943029E+0,
346.00,2.58606696E+0,
347.00,2.20779181E+0,
348.00,1.55239248E+0,
349.00,1.07003915E+0,
350.00,7.66568363E-1,
351.00,5.81373334E-1,
352.00,4.69103634E-1,
353.00,4.03545976E-1,
354.00,3.59715164E-1,
355.00,3.27183574E-1,
356.00,3.00881982E-1,
357.00,2.80046582E-1,
358.00,2.64284283E-1,
359.00,2.51629353E-1,
360.00,2.39808425E-1,
361.00,2.30291858E-1,
362.00,2.20678329E-1,
363.00,2.12908670E-1,
364.00,2.05843717E-1,
365.00,1.99437663E-1,
366.00,1.93541482E-1,
367.00,1.87978014E-1,
368.00,1.81424707E-1,
369.00,1.75950065E-1,
370.00,1.70914680E-1,
371.00,1.66211665E-1,
