Labels,ZnSe_01092022_1st Prep Absorbance (T),
Type,Transmission Scan,
Comment,,
Start,250.00,
Stop,500.00,
Step,1.00,
Fixed/Offset,n/a,
Xaxis,Wavelength,
Yaxis,Absorbance,
Scan Corr. by File,False,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,n/a,
Repeats,1,
Dwell Time,0.20,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,1.00,
Fixed/Offset Polariser,n/a,
Fixed/Offset Slit,n/a,
Detector,Reference Det,

250.00,2.06439996E+0,
251.00,2.08908653E+0,
252.00,2.08250451E+0,
253.00,2.10019994E+0,
254.00,2.12490773E+0,
255.00,2.17543411E+0,
256.00,2.19050121E+0,
257.00,2.23419809E+0,
258.00,2.22164035E+0,
259.00,2.23169231E+0,
260.00,2.28151512E+0,
261.00,2.29167056E+0,
262.00,2.30633187E+0,
263.00,2.32081628E+0,
264.00,2.33039522E+0,
265.00,2.33910704E+0,
266.00,2.35437608E+0,
267.00,2.35794163E+0,
268.00,2.40369225E+0,
269.00,2.34696341E+0,
270.00,2.35913777E+0,
271.00,2.37289000E+0,
272.00,2.37944722E+0,
273.00,2.42430902E+0,
274.00,2.43626332E+0,
275.00,2.42017627E+0,
276.00,2.43705130E+0,
277.00,2.44822454E+0,
278.00,2.49243641E+0,
279.00,2.50953031E+0,
280.00,2.52377415E+0,
281.00,2.53897548E+0,
282.00,2.51721501E+0,
283.00,2.52880168E+0,
284.00,2.54386544E+0,
285.00,2.53250051E+0,
286.00,2.60754991E+0,
287.00,2.62598300E+0,
288.00,2.59990788E+0,
289.00,2.65560842E+0,
290.00,2.63664222E+0,
291.00,2.65052223E+0,
292.00,2.68874860E+0,
293.00,2.66948366E+0,
294.00,2.65099669E+0,
295.00,2.69317508E+0,
296.00,2.70988178E+0,
297.00,2.68875122E+0,
298.00,2.69748187E+0,
299.00,2.68416023E+0,
300.00,2.66709924E+0,
301.00,2.70796967E+0,
302.00,2.69273996E+0,
303.00,2.70143199E+0,
304.00,2.71632218E+0,
305.00,2.70283437E+0,
306.00,2.71379256E+0,
307.00,2.70249295E+0,
308.00,2.73598552E+0,
309.00,2.74935794E+0,
310.00,2.73616171E+0,
311.00,2.77138066E+0,
312.00,2.78151464E+0,
313.00,2.73816109E+0,
314.00,2.75287008E+0,
315.00,2.78226757E+0,
316.00,2.78631139E+0,
317.00,2.81123233E+0,
318.00,2.80231619E+0,
319.00,2.83142424E+0,
320.00,2.81398034E+0,
