Labels,ZnSe_01092022_2nd Prep Absorbance (T),
Type,Transmission Scan,
Comment,,
Start,250.00,
Stop,500.00,
Step,1.00,
Fixed/Offset,n/a,
Xaxis,Wavelength,
Yaxis,Absorbance,
Scan Corr. by File,False,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,n/a,
Repeats,1,
Dwell Time,0.20,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,1.00,
Fixed/Offset Polariser,n/a,
Fixed/Offset Slit,n/a,
Detector,Reference Det,

250.00,1.87379909E+0,
251.00,1.87915063E+0,
252.00,1.88405204E+0,
253.00,1.90578938E+0,
254.00,1.94733262E+0,
255.00,1.95065451E+0,
256.00,1.93607748E+0,
257.00,1.95395279E+0,
258.00,1.95460653E+0,
259.00,1.95411742E+0,
260.00,1.93861425E+0,
261.00,1.92457640E+0,
262.00,1.88744330E+0,
263.00,1.87588060E+0,
264.00,1.87659252E+0,
265.00,1.85579062E+0,
266.00,1.83617139E+0,
267.00,1.81806207E+0,
268.00,1.79443026E+0,
269.00,1.77322853E+0,
270.00,1.75509119E+0,
271.00,1.73112404E+0,
272.00,1.71065021E+0,
273.00,1.68169284E+0,
274.00,1.66931129E+0,
275.00,1.65141511E+0,
276.00,1.63716388E+0,
277.00,1.62380278E+0,
278.00,1.61580384E+0,
279.00,1.60548949E+0,
280.00,1.59604883E+0,
281.00,1.58784544E+0,
282.00,1.58110201E+0,
283.00,1.57799196E+0,
284.00,1.57011259E+0,
285.00,1.56954920E+0,
286.00,1.56941462E+0,
287.00,1.57284760E+0,
288.00,1.56839478E+0,
289.00,1.56555736E+0,
290.00,1.55821109E+0,
291.00,1.54867613E+0,
292.00,1.53290749E+0,
293.00,1.50621331E+0,
294.00,1.46810472E+0,
295.00,1.42682970E+0,
296.00,1.38157558E+0,
297.00,1.33895469E+0,
298.00,1.30018258E+0,
299.00,1.26454163E+0,
300.00,1.23686540E+0,
301.00,1.21436644E+0,
302.00,1.19558454E+0,
303.00,1.17961192E+0,
304.00,1.16499090E+0,
305.00,1.15237582E+0,
306.00,1.14171290E+0,
307.00,1.13254321E+0,
308.00,1.12445819E+0,
309.00,1.11665213E+0,
310.00,1.11190724E+0,
311.00,1.10956419E+0,
312.00,1.11025321E+0,
313.00,1.11560166E+0,
314.00,1.12663054E+0,
315.00,1.14527607E+0,
316.00,1.17168522E+0,
317.00,1.20897913E+0,
318.00,1.25611126E+0,
319.00,1.32469571E+0,
320.00,1.40465093E+0,
