Labels,ZnSe_01092022_2nd Prep_Emission (Less Count),
Type,Emission Scan,
Comment,,
Start,320.00,
Stop,500.00,
Step,1.00,
Fixed/Offset,300.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.10,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,1.00,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,1.00,
Detector,Detector 1,

320.00,4.77896515E+2,
321.00,1.00557190E+2,
322.00,3.29958374E+2,
323.00,3.24960236E+2,
324.00,8.64819763E+2,
325.00,3.47153656E+2,
326.00,3.73569611E+2,
327.00,6.14054222E+1,
328.00,2.72518616E+2,
329.00,5.37548889E+2,
330.00,7.65511108E+2,
331.00,6.38544006E+2,
332.00,7.43592407E+2,
333.00,3.65944336E+2,
334.00,1.08065381E+3,
335.00,1.19903418E+3,
336.00,9.64843384E+2,
337.00,6.06065308E+2,
338.00,9.32376404E+2,
339.00,8.65336426E+2,
340.00,9.50677063E+2,
341.00,1.05734192E+3,
342.00,8.70213074E+2,
343.00,1.56831274E+3,
344.00,1.54131311E+3,
345.00,2.40879077E+3,
346.00,3.76154248E+3,
347.00,5.41491846E+3,
348.00,7.76152197E+3,
349.00,7.50759668E+3,
350.00,7.38016455E+3,
351.00,6.20408594E+3,
352.00,4.98099365E+3,
353.00,5.25635840E+3,
354.00,5.24567236E+3,
355.00,6.27416113E+3,
356.00,6.93075000E+3,
357.00,5.15091016E+3,
358.00,4.20548633E+3,
359.00,3.13303003E+3,
360.00,3.09997485E+3,
361.00,3.05126831E+3,
362.00,2.82056592E+3,
363.00,2.79644995E+3,
364.00,2.33050391E+3,
365.00,2.41688428E+3,
366.00,2.11930493E+3,
367.00,1.84270898E+3,
368.00,2.17997485E+3,
369.00,1.77399927E+3,
370.00,1.79088818E+3,
371.00,1.88928247E+3,
372.00,1.82326038E+3,
373.00,1.88694067E+3,
374.00,1.55031628E+3,
375.00,1.29940942E+3,
376.00,1.27294153E+3,
377.00,1.30891980E+3,
378.00,1.12827673E+3,
379.00,1.28774829E+3,
380.00,1.35365100E+3,
381.00,1.40339905E+3,
382.00,1.82692651E+3,
383.00,1.30813416E+3,
384.00,1.34454773E+3,
385.00,1.27915332E+3,
386.00,9.67460876E+2,
387.00,1.39053516E+3,
388.00,1.18162476E+3,
389.00,1.26010095E+3,
390.00,9.73212219E+2,
391.00,8.56771545E+2,
392.00,1.11485229E+3,
393.00,1.18065649E+3,
394.00,1.22899170E+3,
395.00,1.19001794E+3,
396.00,1.43083569E+3,
397.00,1.55436157E+3,
398.00,1.26229602E+3,
399.00,1.53204614E+3,
400.00,1.37921814E+3,
401.00,1.66644995E+3,
402.00,1.68580188E+3,
403.00,1.34400061E+3,
404.00,1.36991919E+3,
405.00,1.42408435E+3,
406.00,1.32329895E+3,
407.00,1.60252856E+3,
408.00,1.07095154E+3,
409.00,1.21361621E+3,
410.00,1.24413538E+3,
411.00,1.25024573E+3,
412.00,9.81083496E+2,
413.00,1.12678711E+3,
414.00,9.42748840E+2,
415.00,1.20933252E+3,
416.00,1.02727844E+3,
417.00,1.06218823E+3,
418.00,1.13837756E+3,
419.00,1.17441907E+3,
420.00,9.05613281E+2,
421.00,9.44137451E+2,
422.00,9.81976685E+2,
423.00,5.16219299E+2,
424.00,1.08310571E+3,
425.00,6.19830444E+2,
426.00,6.06404907E+2,
427.00,9.08501221E+2,
428.00,9.74115540E+2,
429.00,6.84047302E+2,
430.00,6.57713867E+2,
431.00,6.05314270E+2,
432.00,7.50601990E+2,
433.00,5.53902283E+2,
434.00,5.27876587E+2,
435.00,5.80362305E+2,
436.00,5.54364136E+2,
437.00,6.34127991E+2,
438.00,6.09069519E+2,
439.00,5.17422241E+2,
440.00,5.05122253E+2,
441.00,4.39436768E+2,
442.00,6.80268188E+2,
443.00,4.01044617E+2,
444.00,6.03197571E+2,
445.00,7.66130005E+2,
446.00,5.25343262E+2,
447.00,4.18559967E+2,
448.00,6.63408020E+2,
449.00,4.33740906E+2,
450.00,5.02626038E+2,
451.00,4.77011169E+2,
452.00,4.23667969E+2,
453.00,5.48275208E+2,
454.00,7.01643066E+2,
455.00,4.14255951E+2,
456.00,4.84970367E+2,
457.00,5.69982605E+2,
458.00,4.04435913E+2,
459.00,4.47711914E+2,
460.00,5.19974792E+2,
461.00,5.22547974E+2,
462.00,3.26288086E+2,
463.00,8.26514282E+2,
464.00,3.57981964E+2,
465.00,4.31706116E+2,
466.00,3.90494415E+2,
467.00,3.34449799E+2,
468.00,2.04495422E+2,
469.00,2.78570129E+2,
470.00,2.64923859E+2,
471.00,2.80721954E+2,
472.00,3.85265594E+2,
473.00,5.05061279E+2,
474.00,4.01712250E+2,
475.00,4.61883728E+2,
476.00,6.42170471E+2,
477.00,5.98839600E+2,
478.00,5.40471619E+2,
479.00,2.86086639E+2,
480.00,2.26375656E+2,
481.00,1.81463120E+2,
482.00,1.66619644E+2,
483.00,2.12535507E+2,
484.00,3.34954041E+2,
485.00,4.27535370E+2,
486.00,1.68583405E+2,
487.00,2.30771011E+2,
488.00,2.93519562E+2,
489.00,1.86275055E+2,
490.00,2.33987808E+2,
491.00,3.60477936E+2,
492.00,4.56929199E+2,
493.00,7.92186966E+1,
494.00,2.54952698E+2,
495.00,2.72277496E+2,
496.00,1.61018997E+2,
497.00,1.78083115E+2,
498.00,1.46515060E+2,
499.00,1.80109482E+2,
500.00,3.29476959E+2,
