Labels,ZnSe_01092022_2nd Prep_Emission,
Type,Emission Scan,
Comment,,
Start,320.00,
Stop,500.00,
Step,1.00,
Fixed/Offset,300.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.10,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,3.00,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,2.00,
Detector,Detector 1,

320.00,5.81951611E+3,
321.00,5.57873096E+3,
322.00,4.89827344E+3,
323.00,3.93094189E+3,
324.00,3.60355078E+3,
325.00,3.10582568E+3,
326.00,3.21261548E+3,
327.00,3.53414893E+3,
328.00,3.88338989E+3,
329.00,5.34944580E+3,
330.00,5.69639697E+3,
331.00,7.07983643E+3,
332.00,7.36622021E+3,
333.00,7.57088281E+3,
334.00,7.93735742E+3,
335.00,7.56561279E+3,
336.00,7.89546484E+3,
337.00,7.18541797E+3,
338.00,7.69758691E+3,
339.00,7.62178223E+3,
340.00,7.91782080E+3,
341.00,9.11546777E+3,
342.00,9.48470215E+3,
343.00,1.00614600E+4,
344.00,1.30248398E+4,
345.00,1.62685107E+4,
346.00,2.31219590E+4,
347.00,3.28528359E+4,
348.00,4.10254766E+4,
349.00,4.51016094E+4,
350.00,4.40558867E+4,
351.00,4.14110664E+4,
352.00,3.74694961E+4,
353.00,3.34149922E+4,
354.00,3.26191484E+4,
355.00,3.09021426E+4,
356.00,3.05600820E+4,
357.00,2.87815430E+4,
358.00,2.65193574E+4,
359.00,2.27414141E+4,
360.00,2.08188008E+4,
361.00,1.85322969E+4,
362.00,1.78899707E+4,
363.00,1.68589746E+4,
364.00,1.69276699E+4,
365.00,1.55900879E+4,
366.00,1.57781211E+4,
367.00,1.54195049E+4,
368.00,1.48939814E+4,
369.00,1.45106611E+4,
370.00,1.36119990E+4,
371.00,1.30804014E+4,
372.00,1.26454141E+4,
373.00,1.16823643E+4,
374.00,1.13430918E+4,
375.00,1.10027910E+4,
376.00,1.09874990E+4,
377.00,1.07122090E+4,
378.00,1.04456426E+4,
379.00,1.05046426E+4,
380.00,1.08750645E+4,
381.00,1.05497393E+4,
382.00,1.10577520E+4,
383.00,1.03449639E+4,
384.00,1.03942344E+4,
385.00,1.03271641E+4,
386.00,1.05787393E+4,
387.00,1.02678555E+4,
388.00,1.02393750E+4,
389.00,1.02889619E+4,
390.00,1.03406230E+4,
391.00,1.05365947E+4,
392.00,1.07973350E+4,
393.00,1.09793984E+4,
394.00,1.09158594E+4,
395.00,1.13928135E+4,
396.00,1.09505303E+4,
397.00,1.14509170E+4,
398.00,1.14306465E+4,
399.00,1.15024043E+4,
400.00,1.19254736E+4,
401.00,1.15762754E+4,
402.00,1.14947539E+4,
403.00,1.15545068E+4,
404.00,1.11395586E+4,
405.00,1.16990107E+4,
406.00,1.11697188E+4,
407.00,1.06944600E+4,
408.00,1.08868213E+4,
409.00,1.04558213E+4,
410.00,9.34225879E+3,
411.00,9.55965234E+3,
412.00,8.62832617E+3,
413.00,9.00580762E+3,
414.00,8.42916895E+3,
415.00,8.32779297E+3,
416.00,8.16354541E+3,
417.00,7.39167627E+3,
418.00,7.62275293E+3,
419.00,7.59670361E+3,
420.00,7.18569580E+3,
421.00,7.20871875E+3,
422.00,6.95547510E+3,
423.00,6.57390332E+3,
424.00,6.33671436E+3,
425.00,6.45337256E+3,
426.00,6.32626123E+3,
427.00,6.44989941E+3,
428.00,5.84616895E+3,
429.00,5.84611572E+3,
430.00,5.81332031E+3,
431.00,5.84187598E+3,
432.00,5.68120313E+3,
433.00,5.57763672E+3,
434.00,5.68303076E+3,
435.00,5.28555615E+3,
436.00,5.70721191E+3,
437.00,5.68043994E+3,
438.00,5.31068945E+3,
439.00,5.33976367E+3,
440.00,5.09368994E+3,
441.00,5.19427930E+3,
442.00,5.20958008E+3,
443.00,4.93028418E+3,
444.00,4.85334180E+3,
445.00,5.07718506E+3,
446.00,5.11239844E+3,
447.00,4.82620898E+3,
448.00,4.72947900E+3,
449.00,4.87982178E+3,
450.00,4.68842432E+3,
451.00,4.56531299E+3,
452.00,4.71254297E+3,
453.00,4.46375684E+3,
454.00,4.20492725E+3,
455.00,4.62398242E+3,
456.00,4.23541943E+3,
457.00,4.50827881E+3,
458.00,4.06457275E+3,
459.00,4.16484961E+3,
460.00,4.14943115E+3,
461.00,4.29842090E+3,
462.00,4.09036206E+3,
463.00,3.76495020E+3,
464.00,4.07451709E+3,
465.00,3.93644678E+3,
466.00,3.84582080E+3,
467.00,3.49416748E+3,
468.00,3.69551025E+3,
469.00,4.11276514E+3,
470.00,3.76891187E+3,
471.00,3.56012891E+3,
472.00,3.52787866E+3,
473.00,3.39043530E+3,
474.00,3.24399707E+3,
475.00,3.33827368E+3,
476.00,3.17392139E+3,
477.00,3.26777588E+3,
478.00,3.19427954E+3,
479.00,3.18469165E+3,
480.00,2.90644141E+3,
481.00,3.04915112E+3,
482.00,3.25704541E+3,
483.00,2.96716260E+3,
484.00,3.02786401E+3,
485.00,2.74206055E+3,
486.00,2.80951367E+3,
487.00,3.02583154E+3,
488.00,2.73479126E+3,
489.00,2.66870386E+3,
490.00,2.66400464E+3,
491.00,2.57953076E+3,
492.00,2.80802344E+3,
493.00,2.57416406E+3,
494.00,2.60370435E+3,
495.00,2.36518237E+3,
496.00,2.23170508E+3,
497.00,2.45712695E+3,
498.00,2.42093408E+3,
499.00,2.49047827E+3,
500.00,2.48558765E+3,
