Labels,ZnSe_01092022_Diluted Absorbance (T),
Type,Transmission Scan,
Comment,,
Start,200.00,
Stop,500.00,
Step,1.00,
Fixed/Offset,n/a,
Xaxis,Wavelength,
Yaxis,Absorbance,
Scan Corr. by File,False,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,n/a,
Repeats,1,
Dwell Time,0.20,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,0.500,
Fixed/Offset Polariser,n/a,
Fixed/Offset Slit,n/a,
Detector,Reference Det,

200.00,4.13926728E-2,
201.00,-4.13926765E-2,
202.00,-4.13927026E-2,
203.00,4.13926803E-2,
204.00,-5.89778498E-2,
205.00,-1.04735397E-1,
206.00,-1.46128014E-1,
207.00,-5.89778461E-2,
208.00,-2.11893022E-2,
209.00,-1.24938719E-1,
210.00,-1.55887872E-1,
211.00,-5.89778423E-2,
212.00,-2.04119980E-1,
213.00,-2.55272508E-1,
214.00,-1.16969809E-1,
215.00,2.02034432E-2,
216.00,-5.89778982E-2,
217.00,-5.89778051E-2,
218.00,-1.58362538E-1,
219.00,-2.11893357E-2,
220.00,3.77885476E-2,
221.00,3.77885774E-2,
222.00,-1.24938719E-1,
223.00,9.91314277E-2,
224.00,-8.95482767E-3,
225.00,-2.48235594E-2,
226.00,7.34289438E-2,
227.00,9.69100669E-2,
228.00,4.31363761E-1,
229.00,3.59796762E-1,
230.00,4.35247362E-1,
231.00,7.16003299E-1,
232.00,7.40160167E-1,
233.00,8.50426853E-1,
234.00,9.33442950E-1,
235.00,1.01424038E+0,
236.00,1.10213518E+0,
237.00,1.11131918E+0,
238.00,1.19004869E+0,
239.00,1.25126982E+0,
240.00,1.31273901E+0,
241.00,1.30702472E+0,
242.00,1.41780889E+0,
243.00,1.45933092E+0,
244.00,1.44625902E+0,
245.00,1.54626167E+0,
246.00,1.58339667E+0,
247.00,1.61362517E+0,
248.00,1.71707237E+0,
249.00,1.62375557E+0,
250.00,1.70922530E+0,
251.00,1.73543620E+0,
252.00,1.70252442E+0,
253.00,1.78284669E+0,
254.00,1.87332320E+0,
255.00,1.82770169E+0,
256.00,1.79071975E+0,
257.00,1.93394649E+0,
258.00,1.88317919E+0,
259.00,1.96791995E+0,
260.00,1.91494823E+0,
261.00,1.99596524E+0,
262.00,2.00786233E+0,
263.00,2.10131359E+0,
264.00,2.11415124E+0,
265.00,1.97872555E+0,
266.00,1.93038797E+0,
267.00,1.93983281E+0,
268.00,2.01008344E+0,
269.00,1.96298647E+0,
